date,number_of_positives
2020-07-27,4289518.522967386
2020-07-28,4356623.561374164
2020-07-29,4424603.8365542395
2020-07-30,4493480.439264252
2020-07-31,4563269.436986712
2020-08-01,4633984.909380633
2020-08-02,4705640.2081492655
2020-08-03,4778248.4807619145
2020-08-04,4851822.888983939
2020-08-05,4926376.700890057
2020-08-06,5001923.330440517
2020-08-07,5078476.355334004
2020-08-08,5156049.525871646
2020-08-09,5234656.770112066
2020-08-10,5314312.197506904
2020-08-11,5395030.101924775
2020-08-12,5476824.964440442
2020-08-13,5559711.456045671
2020-08-14,5643704.440346982
2020-08-15,5728818.976277567
